receipt_id,source_image,merchant,receipt_date,receipt_number,subtotal,discount,tax,total,payment_method,item_count,ocr_confidence,extraction_confidence,warning_count
X51005676540,X51005676540.jpg,SYARIKAT PERNIAGAAN GIN KEE,11/01/2018,,,0.0,109.7,109.7,CASH,0,0.994,0.792,1
X51005676541,X51005676541.jpg,SYARIKAT PERNIAGAAN GIN KEE,03/01/2018,,,0.0,89.5,89.5,CASH,0,0.988,0.789,1
X51005676542,X51005676542.jpg,SYARIKAT PERNIAGAAN GIN KEE,29/12/2017,,,0.0,10.0,10.0,CASH,0,0.992,0.792,1
X51005676543,X51005676543.jpg,SYARIKAT PERNIAGAAN GIN KEE,02/01/2018,,,0.0,12.5,12.5,CASH,0,0.993,0.792,1
X51005676544,X51005676544.jpg,SYARIKAT PERNIAGAAN GIN KEE,02/01/2018,,,0.0,2.0,2.0,CASH,0,0.992,0.791,1
X51005676545,X51005676545.jpg,SYARIKAT PERNIAGAAN GIN KEE,13/01/2018,,,0.0,6.0,6.0,CASH,0,0.992,0.791,1
X51005676546,X51005676546.jpg,SYARIKAT PERNIAGAAN GIN KEE,11/01/2018,,,0.0,20.0,20.0,CASH,0,0.994,0.792,1
X51005676547,X51005676547.jpg,SYARIKAT PERNIAGAAN GIN KEE,13/01/2018,,,0.0,12.0,12.0,CASH,0,0.994,0.792,1
X51005676548,X51005676548.jpg,SYARIKAT PERNIAGAAN GIN KEE,15/01/2018,,,0.0,10.5,10.5,CASH,0,0.991,0.791,1
X51005676549,X51005676549.jpg,SYARIKAT PERNIAGAAN GIN KEE,02/01/2018,,,0.0,37.5,37.5,CASH,0,0.986,0.789,1
X51005677327,X51005677327.jpg,SYARIKAT PERNIAGAAN GIN KEE,01/02/2018,,,0.0,34.0,34.0,CASH,0,0.994,0.792,1
X51005677328,X51005677328.jpg,SYARIKAT PERNIAGAAN GIN KEE,12/02/2018,,,0.0,5.0,5.0,CASH,0,0.994,0.792,1
X51005677329,X51005677329.jpg,SYARIKAT PERNIAGAAN GIN KEE,12/02/2018,,,0.0,255.0,255.0,CASH,0,0.985,0.788,1
X51005677331,X51005677331.jpg,SYARIKAT PERNIAGAAN GIN KEE,03/02/2018,,,0.0,3.45,57.5,CASH,0,0.994,0.792,1
X51005677332,X51005677332.jpg,SYARIKAT PERNIAGAAN GIN KEE,12/01/2018,,,0.0,7.5,7.5,CASH,0,0.981,0.786,1
X51005677333,X51005677333.jpg,SYARIKAT PERNIAGAAN GIN KEE,31/01/2018,,,0.0,96.0,96.0,CASH,0,0.996,0.793,1
X51005677334,X51005677334.jpg,SYARIKAT PERNIAGAAN GIN KEE,31/01/2018,,,0.0,78.0,78.0,CASH,0,0.994,0.792,1
X51005677335,X51005677335.jpg,SYARIKAT PERNIAGAAN GIN KEE,24/01/2018,,,0.0,70.0,70.0,CASH,0,0.996,0.793,1
X51005677336,X51005677336.jpg,SYARIKAT PERNIAGAAN GIN KEE,27/01/2018,,,0.0,21.0,21.0,CASH,0,0.994,0.792,1
X51005677337,X51005677337.jpg,SYARIKAT PERNIAGAAN GIN KEE,02/02/2018,,,0.0,88.8,88.8,CASH,0,0.99,0.791,1
X51005677339,X51005677339.jpg,BEYOND BROTHERS HARDWARE,05/02/2018,,,0.0,60.0,60.0,CASH,0,0.975,0.784,1
X51005684949,X51005684949.jpg,WESTERN EASTERN,26-02-2018,,,,,,CASH,0,0.99,0.616,2
X51005685355,X51005685355.jpg,RESTORAN IBRAHIM MAJU SB,19/03/2018,,5.3,,5.3,5.3,CASH,0,0.985,0.858,1
X51005685357,X51005685357.jpg,For staff:Lleong Sang Fodle,02/03/18,71857936,111.3,,79.35,79.35,,2,0.986,0.954,0
X51005705722,X51005705722.jpg,ASO ELECTRICAL TRADING SDN BHD,27/09/2017,CS00087400,234.0,0.0,234.0,234.0,CASH,0,0.986,0.909,1
X51005705727,X51005705727.jpg,KEDAI BUKU NEW ACHEIVERS,28/12/2017,CS00310146,40.0,4.0,40.0,36.0,CASH,0,0.984,0.908,1
X51005705729,X51005705729.jpg,ASO ELECTRICAL TRADING SDN BHD,13/10/2017,CS00088810,89.26,0.0,89.26,89.26,CASH,0,0.992,0.912,1
X51005705760,X51005705760.jpg,MYDIN,10/08/2017,322563,,,20.19,21.4,CASH,0,0.981,0.836,1
X51005705784,X51005705784.jpg,(EDAI BUKU NEW ACHEIVERS,15/09/2017,,45.28,0.0,45.28,45.28,CASH,0,0.987,0.859,1
X51005705804,X51005705804.jpg,ASO ELECTRICAL TRADING SDN BHD,04/12/2017,CS00093091,0.0,5.6,0.0,100.0,CASH,0,0.995,0.913,1
X51005710963,X51005710963.jpg,TS TOOLS HARDWARE & MACHIRERY SDR KHD,21/03/2018,CS00032256,,,0.0,0.42,CASH,0,0.991,0.841,1
X51005711401,X51005711401.jpg,RESTORAN WAN SHENG,,,,,5.66,6.0,CASH,0,0.99,0.686,2
X51005711402,X51005711402.jpg,RESTORAN WAN SHENG,17-03-2018,,,,9.07,9.6,CASH,0,0.984,0.788,1
X51005711403,X51005711403.jpg,RESTORAN WAN SHENG,19-03-2018,,,,8.59,9.1,CASH,0,0.984,0.788,1
X51005711404,X51005711404.jpg,RESTORAN WAN SHENG,14-03-2018,,,,4.54,4.8,CASH,0,0.99,0.79,1
X51005711441,X51005711441.jpg,RESTORAN WAN SHENG,,,,,6.33,6.7,CASH,1,0.99,0.77,1
X51005711442,X51005711442.jpg,RESTORAN WAN SHENG,,,,,9.07,9.6,CASH,0,0.986,0.684,2
X51005711443,X51005711443.jpg,RESTORAN WAN SHENG,,,,,6.33,6.7,CASH,0,0.99,0.686,2
X51005711444,X51005711444.jpg,RESTORAN WAN SHENG,21-03-2018,,,,4.54,4.8,CASH,0,0.993,0.792,1
X51005711445,X51005711445.jpg,RESTORAN WAN SHENG,,,,,6.62,7.0,CASH,0,0.99,0.685,2
X51005711446,X51005711446.jpg,RESTORAN WAN SHENG,10-03-2018,,,,6.81,7.2,CASH,0,0.988,0.79,1
X51005711447,X51005711447.jpg,RESTORAN WAN SHENG,,,,,2.17,2.3,CASH,0,0.989,0.685,2
X51005711449,X51005711449.jpg,RESTORAN WAN SHENG,07-03-2018,,,,4.54,4.8,CASH,1,0.984,0.873,0
X51005711451,X51005711451.jpg,RESTORAN WAN SHENG,,,,,5.66,6.0,CASH,1,0.983,0.767,1
X51005711452,X51005711452.jpg,Gerbang Alaf Restaurants Sdn Bhd,21/03/2018,,,,25.4,1.44,CASH,0,0.994,0.792,1
X51005711453,X51005711453.jpg,Gerbang Alaf Restaurants Sdn Bhd,10/03/2018,,,,8.5,0.48,CASH,0,0.988,0.79,1
X51005711454,X51005711454.jpg,PappaRich BMC,24 Mar 18,,62.55,,68.82,72.93,CASH,1,0.99,0.945,0
X51005711456,X51005711456.jpg,SUSHI MENTAI - MAHKOTA CHERAS,31-03-2018,114105,,,56.2,65.55,VISA,1,0.988,0.925,0
X51005712017,X51005712017.jpg,Gerbang Alaf Restaurants Sdn Bhd,19-18/03,,,,13.1,0.74,CASH,0,0.993,0.792,1
X51005712021,X51005712021.jpg,HAPPY SNACKS ENTERPRISE,20/03/2018,,,,26.82,26.82,CASH,0,0.994,0.792,1
X51005712038,X51005712038.jpg,SWC ENTERPRISE,28/03/2018,00518087100028,30.0,,30.0,30.0,CASH,2,0.992,0.996,0
X51005712039,X51005712039.jpg,L TWO FLORIST & HANDICRAFT,21/03/2018,,,,0.0,9.0,CASH,0,0.996,0.793,1
X51005715007,X51005715007.jpg,KAISON FURNISHING SDN BHD,25-03-18,1502102697,,,,18.7,CASH,3,0.994,0.877,0
X51005715010,X51005715010.jpg,watsons,MAR 18,,,,2.34,2.34,CASH,0,0.956,0.775,1
X51005715451,X51005715451.jpg,POPULAR BOOK,06/02/18,246761,,0.0,14.64,0.0,CASH,0,0.984,0.838,1
X51005715455,X51005715455.jpg,99 SPEED MAPT S/B (519537-X),26-03-18,18348/102/T0058,,,10.6,10.6,CASH,1,0.962,0.913,0
X51005715456,X51005715456.jpg,KHE ELECTRICAL TRADING,22/03/2018,,,0.0,96.0,96.0,CASH,0,0.992,0.792,1
X51005717526,X51005717526.jpg,Derbang Alaf Restaurants Sdn Bhd,02/03/2018,,,,28.5,1.61,CASH,0,0.991,0.791,1
X51005719814,X51005719814.jpg,KIKU JAPANESE RESTAURANT,17/1/2018,9722,29.7,29.7,,29.7,CASH,4,0.988,0.945,0
X51005719823,X51005719823.jpg,SIMPLIFIED TAX INVOICE,29/01/2018,CS00123688,,,1.26,1.26,CASH,0,0.987,0.839,1
X51005719855,X51005719855.jpg,ROCKU YAKINIKU,,,,,10.28,181.55,CASH,0,0.991,0.686,2
X51005719856,X51005719856.jpg,baskinBRrobbins,,,21.5,,21.5,21.5,CASH,1,0.989,0.84,1
X51005719857,X51005719857.jpg,Salon Du Chocolat,19-02-2018,,,,20.4,23.8,,0,0.987,0.749,1
X51005719862,X51005719862.jpg,99 SPEED MART S/B (519537-X),03-02-18,18297/102/T0173,,,3.49,3.7,CASH,0,0.987,0.839,1
X51005719863,X51005719863.jpg,SEN LEE HEONG RESTAURANT,12-01-2018,,73.0,,73.0,77.4,CASH,5,0.988,0.945,0
X51005719864,X51005719864.jpg,FUN N CHEER (MALURI),05/01/2018,,,,1.69,1.69,CASH,0,0.994,0.792,1
X51005719873,X51005719873.jpg,Your order number is,21/01/2018,number,,,8.12,,CASH,0,0.993,0.717,2
X51005719874,X51005719874.jpg,NADEJE PRESTIGE SDN BHD,2018/02/22,000-074020,,,,,CASH,0,0.995,0.668,2
X51005719882,X51005719882.jpg,99 SPEED MART S/B (S19537-X),17-02-18,18311/103/T0280,,,213.0,213.0,CASH,0,0.988,0.84,1
X51005719883,X51005719883.jpg,99 SPEED MART S/B (519537-X),17-02-18,18311/102/T0395,,,108.5,108.5,CASH,0,0.99,0.841,1
X51005719886,X51005719886.jpg,SUNFISH,05/01/2018,,28.7,,1.62,,CASH,0,0.997,0.739,2
X51005719888,X51005719888.jpg,POTTERS GARDEN SDN BHD,04/01/2018,,39.8,,37.54,40.0,CASH,3,0.993,0.947,0
X51005719889,X51005719889.jpg,HENG KEE DELIGHTS BAK KUT TEH.,04/01/2018,TB011530,42.0,0.0,17.0,42.0,CASH,1,0.99,0.996,0
X51005719893,X51005719893.jpg,Mr.Dakgalbi Solaris,2018-01-0522,18010500047,,,71.0,71.0,CASH,0,0.996,0.843,1
X51005719895,X51005719895.jpg,GREEN LANE PHARMACY SDN BHD,1/8/2018,,,,0.51,34.8,,0,0.958,0.736,1
X51005719896,X51005719896.jpg,THE STORE (MALAYSIA) SDN BHD (8199K),14-01-2018,,,,35.8,35.8,CASH,0,0.986,0.789,1
X51005719898,X51005719898.jpg,MR. D.I.Y.(KUCHAI) SDN BHD,19-03-18,,,,11.9,11.9,CASH,3,0.963,0.863,0
X51005719899,X51005719899.jpg,NYONYA COLORS @ 1 UTAMA,18-03-2018,,,,,,CASH,0,0.99,0.616,2
X51005719902,X51005719902.jpg,KING'S CONFECTIONERY S/B 273500-U (KSB),11/03/18,,,,1.42,1.42,,0,0.968,0.74,1
X51005719903,X51005719903.jpg,Gerbang Alaf Restaurants Sdn Bhd,11/03/2018,,,,8.5,0.48,CASH,0,0.994,0.792,1
X51005719904,X51005719904.jpg,Yam Fresh,2018-03-18,,,,,,CASH,0,0.977,0.61,2
X51005719905,X51005719905.jpg,SAINT HEART PASTRY,25/03/2018,,,0.0,7.74,7.74,CASH,0,0.998,0.794,1
X51005719906,X51005719906.jpg,Zen and coffee 28S/B,25 Mar 2018,57269,105.0,,99.05,105.0,CASH,0,0.977,0.905,1
X51005719912,X51005719912.jpg,Guardian HealthAnd Beauty Sdn Bhd,04/03/18,,12.0,11.6,12.0,12.0,CASH,0,0.978,0.855,1
X51005719914,X51005719914.jpg,MR. D.I.Y.(KUCHAI) SDN BHD,16-03-18,,,,53.3,53.3,CASH,1,0.975,0.869,0
X51005719917,X51005719917.jpg,TAX INVOICE,26/03/18,Time,,27.6,1.87,33.0,CASH,0,0.988,0.84,1
X51005722668,X51005722668.jpg,MY HAPPY PHARMACY PLT,01/02/2018,,,0.0,19.34,19.34,CASH,0,0.992,0.791,1
X51005722699,X51005722699.jpg,POPULAR BOOK,11/02/18,79369,,0.0,11.8,0.0,CASH,0,0.991,0.841,1
X51005724552,X51005724552.jpg,KEDAI PAPAN YEW CHUAN,21/03/2018,PORT,,0.0,65.0,65.0,CASH,0,0.99,0.841,1
X51005724554,X51005724554.jpg,KEDAI PAPAN YEW CHUAN,28/02/2018,PORT,,0.0,96.0,96.0,CASH,0,0.993,0.842,1
X51005724611,X51005724611.jpg,KEDAI PAPAN YEW CHUAN,21/03/2018,PORT,,0.0,136.0,136.0,CASH,1,0.992,0.927,0
X51005724621,X51005724621.jpg,KEDAI PAPAN YEW CHUAN,06/03/2018,PORT,,0.0,120.0,120.0,CASH,0,0.995,0.843,1
X51005724622,X51005724622.jpg,Comb Ches,07/03/2018,PORT,,0.0,86.0,86.0,CASH,0,0.982,0.837,1
X51005724623,X51005724623.jpg,awy,,PORT,,0.0,295.0,295.0,CASH,0,0.981,0.732,2
X51005724624,X51005724624.jpg,KEDAI PAPAN YEW CHUAN,16/03/2018,PORT,,0.0,128.0,128.0,CASH,0,0.996,0.843,1
X51005724625,X51005724625.jpg,MBB264096,12/03/2018,PORT,,0.0,267.5,267.5,CASH,0,0.995,0.843,1
X51005724626,X51005724626.jpg,MBB 293502,02/04/2018,PORT,,0.0,255.0,255.0,CASH,0,0.993,0.842,1
X51005724627,X51005724627.jpg,KEDAI PAPAN YEW CHUAN,31/03/2018,PORT,,0.0,165.0,165.0,CASH,0,0.995,0.843,1
X51005724628,X51005724628.jpg,KEDAI PAPAN YEW CHUAN,10/03/2018,PORT,,0.0,80.0,80.0,CASH,0,0.996,0.843,1
X51005724629,X51005724629.jpg,Cele,17/03/2018,PORT,,0.0,165.0,165.0,CASH,0,0.992,0.841,1
X51005741929,X51005741929.jpg,MyMydin Subang Bestari 2300,15/01/2018,1670327566,,,5.19,5.5,CASH,0,0.984,0.838,1
X51005741944,X51005741944.jpg,TAX INVOICE,18-01-2018,1-916166,,,39.58,41.95,CARD,0,0.993,0.842,1
X51005742068,X51005742068.jpg,BHPetrol Palekbang,24-03-2018,will,,,,6.0,CASH,1,0.983,0.872,0
X51005742110,X51005742110.jpg,YONG CEN ENTERPRISE,06/01/2018,CS00668595,,,3.72,65.7,CASH,0,0.983,0.837,1
X51005745183,X51005745183.jpg,BILLION SIX ENTERPRISE,22/02/2018,,,,6.0,63.8,MASTERCARD,0,0.98,0.786,1
X51005745187,X51005745187.jpg,SLF CASH & CARRY,03/02/2018,,,,21.2,20.0,CASH,0,0.96,0.777,1
X51005745188,X51005745188.jpg,SLF CASH & CARRY,02/02/2018,CS00241867,,,0.0,2.72,CASH,0,0.99,0.84,1
X51005745190,X51005745190.jpg,SUPER SEVEN CASH & CARRY SDN BHD,12-02-2018,195147,,,,,VISA,10,0.982,0.747,1
X51005745213,X51005745213.jpg,MUN HENG ELECTRICAL &,01/02/2018,,,,1.0,7.0,,2,0.948,0.817,0
X51005745214,X51005745214.jpg,99 SPEED MART S/B (519537-X),07-02-18,18301/102/T0305,,,45.34,45.34,CREDIT CARD,1,0.988,0.925,0
X51005745244,X51005745244.jpg,"URBAN IDEA SDN BHD (417940-M),",14/02/2018,1/A-42210-138075,,,,,CASH,0,0.99,0.665,2
X51005745249,X51005745249.jpg,"URBAN 1DEA SDN BHD (417940-M),",27/02/2018,1/A-42210-140220,,,,,CASH,0,0.99,0.665,2
X51005745296,X51005745296.jpg,SUSHI MENTAI - PANDAN INDAH,09-04-2018,275705,,,26.6,31.0,CASH,3,0.981,0.922,0
X51005745298,X51005745298.jpg,99 SPEED MART S/B (519537-X),31-03-18,18353/102/T0311,,,3.99,3.99,CASH,0,0.968,0.83,1
X51005746140,X51005746140.jpg,YONG CEN ENTERPRISE,02/03/2018,CS00677115,,,3.36,63.35,CASH,0,0.996,0.843,1
X51005746203,X51005746203.jpg,SUPER SEVEN CASH & CARRY SDN BHD,01-03-2018,179509,,,,,MASTERCARD,11,0.988,0.75,1
X51005746204,X51005746204.jpg,BEMED (SP) SDN. BHD.,,,308.7,,308.7,308.7,CASH,0,0.975,0.749,2
X51005746206,X51005746206.jpg,PANA JAYA ENTERPAISE,21-03-2018,,,,99.06,105.0,CASH,0,0.982,0.787,1
X51005746207,X51005746207.jpg,SUPER SEVEN CASH & CARRY SDN BHD,21-03-2018,203225,,,,,MASTERCARD,8,0.989,0.75,1
X51005746210,X51005746210.jpg,Segi Cash & Carry Sdn. Bhd.(317041-W),12 Mar 2018,,145.09,,145.09,145.1,CASH,0,0.973,0.853,1
X51005749895,X51005749895.jpg,MR. D.I.. (M) SDN BHD,02-03-18,,,,71.9,71.9,CASH,3,0.984,0.873,0
X51005749904,X51005749904.jpg,SWC ENTERPRISE SDN BHD,06/03/2018,,,,,4.0,CASH,0,0.97,0.731,1
X51005749905,X51005749905.jpg,ENW Hardware Centre (M) Sdn. Bhd.,10/03/2018,,,,34.0,34.0,CASH,4,0.99,0.875,0
X51005749912,X51005749912.jpg,MR. D.I.Y. (M) SDN BHD,04-2/60,,,,38.8,38.8,CASH,3,0.986,0.874,0
X51005757199,X51005757199.jpg,POPULAR BOOK,01/03/18,21396,,0.0,4.0,0.0,CASH,0,0.991,0.841,1
X51005757201,X51005757201.jpg,AEON CO. (M) BHD. (126926-H),28/02/2018,2013022810082100090,,,88.97,83.93,CASH,3,0.992,0.927,0
X51005757233,X51005757233.jpg,Guardian Health And Beauty Sdn Bhd,09/03/18,,9.95,,9.95,9.95,,0,0.97,0.812,1
X51005757235,X51005757235.jpg,AEON CO. (M) BHD (126926-H),09/03/2018,2018030910080010555,,,31.0,29.24,CASH,0,0.996,0.843,1
X51005757243,X51005757243.jpg,POPULAR BOOK,11/03/18,250504,,0.0,5.75,0.0,CASH,1,0.988,0.925,0
X51005757248,X51005757248.jpg,AEON CO. (M) BHD (126926-H),12/03/2018,2018031210080010139,,,42.48,42.47,CASH,0,0.988,0.84,1
X51005757273,X51005757273.jpg,MR. D.I.Y. (KUCHAI) SDN BHD,12-03-18,,,,45.0,45.0,CASH,1,0.995,0.878,0
X51005757282,X51005757282.jpg,Heo,12/09/2017,,0.5,,6.0,24.5,CASH,4,0.974,0.938,0
X51005757286,X51005757286.jpg,TSH POWER HARDWARE,10/10/2017,,8.0,,6.0,8.0,CASH,2,0.996,0.948,0
X51005757290,X51005757290.jpg,MR. D.I.Y. (M) SDN BHD,17-03-18,,,,42.9,2.43,CASH,4,0.992,0.876,0
X51005757292,X51005757292.jpg,MR. D.1.Y. (M) SDN BHD,18-03-18,,,,6.6,0.37,CASH,4,0.978,0.87,0
X51005757294,X51005757294.jpg,MR. D.1.Y. (M) SDN BHD,52-62-25,,,,10.6,10.6,CASH,4,0.988,0.875,0
X51005757304,X51005757304.jpg,#000002 BAIFU (M) Sdn Bhd,20/03/2018,,35.4,,35.4,35.4,CASH,2,0.993,0.947,0
X51005757308,X51005757308.jpg,MR. D.I.Y. (M) SDN BHD,21-22-36,,,,21.5,1.22,CASH,4,0.983,0.872,0
X51005757323,X51005757323.jpg,MR. D.I.Y. (M) SDN BHD,26-03-18,,,,28.0,1.58,CASH,4,0.977,0.87,0
X51005757324,X51005757324.jpg,MR. D.I.Y. (M) SDN BHD,25-03-18,,,,50.8,2.88,CASH,4,0.993,0.877,0
X51005757342,X51005757342.jpg,MR. D.I.Y. (M) SDN BHD,23-03-18,,,,6.2,0.35,CASH,4,0.98,0.871,0
X51005757346,X51005757346.jpg,MR. D.I.Y. (M) SDN BHD,23-03-18,,,,26.1,1.48,CASH,4,0.993,0.877,0
X51005757349,X51005757349.jpg,GOLDEN KEY MAKER,,,,0.0,,21.0,CASH,0,0.997,0.639,2
X51005757351,X51005757351.jpg,MR. D.I.Y. (M) SDN BHD,33-53-12,,,,14.9,0.84,CASH,4,0.994,0.877,0
X51005757353,X51005757353.jpg,MR. D.I.Y. (M) SDN BHD,24-03-18,,,,12.3,0.7,CASH,4,0.989,0.875,0
X51005763940,X51005763940.jpg,Harvey Norman,1300-88-5200,,,,60.0,60.0,CARD,1,0.994,0.877,0
X51005763958,X51005763958.jpg,SUPER SEVEN CASH & CARRY ŚDN BHD,27-01-2018,,,,,,VISA,1,0.988,0.7,1
X51005763964,X51005763964.jpg,button,06/01/2018,CS00668594,,,3.72,65.7,CASH,0,0.982,0.837,1
X51005763999,X51005763999.jpg,Segi Cash & Carry Sdn. Bhd (317041-W),06 Jan 2018,,673.99,1.6,673.99,674.0,VISA,1,0.976,0.939,0
X51005764031,X51005764031.jpg,SUPER SEVEN CASH & CARRY SDN BHD,01-02-2018,192636,,,,,VISA,5,0.993,0.752,1
X51005764154,X51005764154.jpg,Disposue,25-01-2018,,,,11.63,205.5,CASH,0,0.971,0.782,1
X51005764161,X51005764161.jpg,99 SPEED MART S/B (519537-X),28-01-18,for,,,98.89,98.89,CREDIT CARD,1,0.963,0.913,0
X51005806678,X51005806678.jpg,KAISON FURNISHING SDN BHD,29-01-18,1603029175,,,,7395.09,CASH,6,0.992,0.877,0
X51005806679,X51005806679.jpg,LEE WAH FLORIST SDN BHD,02/02/2018,,,0.0,353.0,353.0,CASH,0,0.987,0.789,1
X51005806685,X51005806685.jpg,ADVANCO COMPANY,17/01/2018,,,,29.0,27.36,CASH,0,0.984,0.788,1
X51005806692,X51005806692.jpg,Tax Invoice,18/02/2018,,346.51,,346.51,367.3,CREDIT CARD,11,0.979,0.94,0
X51005806695,X51005806695.jpg,JUWITA WEDDINGS (366310-U),,Date,4.1,,6.0,4.1,CREDIT CARD,1,0.992,0.892,1
X51005806696,X51005806696.jpg,IMAGE PRINTEC (M) SDN BHD,23/02/2018,,7.2,,0.43,7.65,CASH,3,0.995,0.948,0
X51005806698,X51005806698.jpg,ADVANCO COMPANY,28/02/2018,,,11.6,10.45,9.85,CASH,0,0.992,0.791,1
X51005806702,X51005806702.jpg,Cash Sale,06/02/2018,,,,13.5,13.5,CASH,1,0.994,0.877,0
X51005806703,X51005806703.jpg,Cash Sale,06/02/2018,,,,109.7,109.7,CASH,1,0.985,0.873,0
X51005806716,X51005806716.jpg,ADVANCO COMPANY,17/01/2018,,,,7.0,6.6,CASH,0,0.989,0.79,1
X51005806718,X51005806718.jpg,HUGO TRADING SDN BHD,13/01/2018,,,,1.25,40.8,CASH,1,0.991,0.876,0
X51005806719,X51005806719.jpg,POSTED,13/01/201,,,0.0,59.43,63.0,CASH,0,0.988,0.79,1
